2026-03-05 17:42:10 │ INFO    │ main               │ ============================================================
2026-03-05 17:42:10 │ INFO    │ main               │ BSC Token Daily Growth Report
2026-03-05 17:42:10 │ INFO    │ main               │   Contract: 0xe3ec133e29addfbba26a412c38ed5de37195156f
2026-03-05 17:42:10 │ INFO    │ main               │   Minter:   0x344659F3Ef3c2D2A0cdF071ea13Fa87867777777
2026-03-05 17:42:10 │ INFO    │ main               │   Lookback: 30 days
2026-03-05 17:42:10 │ INFO    │ main               │   Timezone: Asia/Taipei
2026-03-05 17:42:10 │ INFO    │ main               │ ============================================================
2026-03-05 17:42:10 │ INFO    │ main               │ 
[1/3] Fetching on-chain data from Dune Analytics...
2026-03-05 17:42:10 │ INFO    │ dune_analyzer      │ Starting Dune on-chain analysis...
2026-03-05 17:42:10 │ INFO    │ dune_analyzer      │   → Fetching today_new_users...
2026-03-05 17:42:10 │ INFO    │ dune_client.api.base │ executing SQL on medium cluster
2026-03-05 17:42:11 │ INFO    │ dune_client.api.base │ waiting for query execution 01KJYP0KGZNGKZ1TKT9ND05AVM to complete: ExecutionState.PENDING (queue position: None)
2026-03-05 17:42:12 │ INFO    │ dune_client.api.base │ waiting for query execution 01KJYP0KGZNGKZ1TKT9ND05AVM to complete: ExecutionState.PENDING (queue position: None)
2026-03-05 17:42:14 │ INFO    │ dune_client.api.base │ waiting for query execution 01KJYP0KGZNGKZ1TKT9ND05AVM to complete: ExecutionState.EXECUTING
2026-03-05 17:42:17 │ INFO    │ dune_client.api.base │ waiting for query execution 01KJYP0KGZNGKZ1TKT9ND05AVM to complete: ExecutionState.EXECUTING
2026-03-05 17:42:20 │ INFO    │ dune_client.api.base │ waiting for query execution 01KJYP0KGZNGKZ1TKT9ND05AVM to complete: ExecutionState.EXECUTING
2026-03-05 17:42:24 │ INFO    │ dune_client.api.base │ waiting for query execution 01KJYP0KGZNGKZ1TKT9ND05AVM to complete: ExecutionState.EXECUTING
2026-03-05 17:42:27 │ INFO    │ dune_client.api.base │ waiting for query execution 01KJYP0KGZNGKZ1TKT9ND05AVM to complete: ExecutionState.EXECUTING
2026-03-05 17:42:31 │ INFO    │ dune_client.api.base │ waiting for query execution 01KJYP0KGZNGKZ1TKT9ND05AVM to complete: ExecutionState.EXECUTING
2026-03-05 17:42:39 │ INFO    │ dune_analyzer      │     ✓ today_new_users: 1 rows
2026-03-05 17:42:39 │ INFO    │ dune_analyzer      │   → Fetching wallet_age_analysis...
2026-03-05 17:42:39 │ INFO    │ dune_client.api.base │ executing SQL on medium cluster
2026-03-05 17:42:42 │ INFO    │ dune_client.api.base │ waiting for query execution 01KJYP1HABXFYB3QSAR06NT3NB to complete: ExecutionState.PENDING (queue position: None)
2026-03-05 17:42:53 │ WARNING │ urllib3.connectionpool │ Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='api.dune.com', port=443): Read timed out. (read timeout=10.0)")': /api/v1/execution/01KJYP1HABXFYB3QSAR06NT3NB/status
2026-03-05 17:42:54 │ INFO    │ dune_client.api.base │ waiting for query execution 01KJYP1HABXFYB3QSAR06NT3NB to complete: ExecutionState.EXECUTING
2026-03-05 17:42:55 │ INFO    │ dune_client.api.base │ waiting for query execution 01KJYP1HABXFYB3QSAR06NT3NB to complete: ExecutionState.EXECUTING
2026-03-05 17:42:56 │ INFO    │ dune_client.api.base │ waiting for query execution 01KJYP1HABXFYB3QSAR06NT3NB to complete: ExecutionState.EXECUTING
